"機関コード","機関種別","機関名","郵便番号","電話番号","機関所在地","ホームページ","経営主体"
"0713011112","特定健診・指導","あつうみ内科医院","963-6312","0247-37-1544","福島県石川郡玉川村大字小高字中畷１８－１","","診療所　医療法人"
"0713011153","特定健診","中島医院","963-7851","0247-26-3415","福島県石川郡石川町字新町４６－１","","診療所　医療法人"
"0713011179","特定健診","角田内科医院胃・大腸クリニック","963-6218","0247-36-2067","福島県石川郡浅川町大字東大畑字新町１０－１","","診療所　医療法人"
"0713011195","特定健診・指導","医療法人麻仁会とりごえ整形外科クリニック","963-7807","0247-26-5050","福島県石川郡石川町大字形見字尾巻１８４－１","http://","診療所　医療法人"
"0713111037","特定健診","矢吹医院","963-7766","0247-62-3015","福島県田村郡三春町字中町２８","","診療所　個人"
"0713111052","特定健診","石川医院","963-7766","0247-62-2630","福島県田村郡三春町字中町１－１","","診療所　個人"
"0713111177","特定健診・指導","さいとう医院本院","963-3401","0247-72-2500","福島県田村郡小野町大字小野新町字中通５９－１","http://kenshin.niph.go.jp/kensin/","診療所　医療法人"
"0713111243","特定健診","橋本医院","963-3402","0247-72-3711","福島県田村郡小野町大字谷津作字馬場７０－１","","診療所　医療法人"
"0713111268","特定健診","医療法人島貫整形外科","963-3401","0247-72-2722","福島県田村郡小野町大字小野新町字中通１５６","","診療所　医療法人"
"0713111326","特定健診・指導","のざわ内科クリニック","963-7719","0247-61-1500","福島県田村郡三春町大字貝山字岩田８６－２","http://www.myclinic.ne.jp/nozawa/pc/","診療所　医療法人"
"0713111334","特定健診","むとう整形外科クリニック","963-7719","0247-61-1600","福島県田村郡三春町大字貝山字岩田８６－１","","診療所　医療法人"
"0713111342","特定健診","春山医院","963-7765","0247-62-3239","福島県田村郡三春町字荒町１３８","","診療所　個人"
"0713111524","特定健診・指導","石塚医院","963-3401","0247-72-2161","福島県田村郡小野町大字小野新町字品ノ木１２３","http://www.ishizuka-clinic.or.jp/","診療所　医療法人"
"0713111532","特定健診・指導","三春町立三春病院","963-7752","0247-62-3131","福島県田村郡三春町字六升蒔５０","http://www.hoshipital.or.jp","病院　官公立"
"0713111557","特定健診","医）峰園会せんざき医院","963-7759","0247-61-2777","福島県田村郡三春町字大町３２みはる壱番館１Ｆ","http://www.senzaki-clinic.jp","診療所　医療法人"
"0713111565","特定健診","雷クリニック","963-7769","0247-62-6333","福島県田村郡三春町担橋２－１－２","http://","診療所　医療法人"
"0713111573","特定健診","公立小野町地方綜合病院","963-3401","0247-72-3181","福島県田村郡小野町大字小野新町字槻木内６－２","http://www.ono-hp.jp/","病院　官公立"
"0713111599","特定健診","かみや内科クリニック","963-3401","0247-72-3212","福島県田村郡小野町大字小野新町字門番９３－１","http://www.kamiyanaika.com","診療所　医療法人"
"0713111615","特定健診","なごみファミリークリニック","963-7704","0247-62-2473","福島県田村郡三春町大字熊耳字上荒井１９９－１","http://","診療所　医療法人"
"0713210342","特定健診","医療法人西会西病院","979-1521","0240-34-2525","福島県双葉郡浪江町大字権現堂字下柳町６","","病院　医療法人"
"0713210425","特定健診","医療法人博文会双葉病院","979-1305","0240-32-2191","福島県双葉郡大熊町大字熊字新町１７６－１","","病院　医療法人"
"0713210524","特定健診・指導","福島県厚生農業協同組合連合会双葉厚生病院","979-1472","0240-33-2151","福島県双葉郡双葉町大字新山字久保前１００","http://www4.ocn.ne.jp/~fkutaba","病院　その他の公的"
"0713210961","特定健診","夜の森中央医院","979-1161","0240-22-2211","福島県双葉郡富岡町字夜の森北２－９","","診療所　個人"
"0713211019","特定健診","高野病院","979-0402","0240-27-2901","福島県双葉郡広野町大字下北迫字東町２１４","","病院　医療法人"
"0713211043","特定健診","富岡中央医院","979-1112","0240-22-6560","福島県双葉郡富岡町中央１－１１０","","診療所　医療法人"
"0713211118","特定健診","川内村国民健康保険診療所","979-1202","0240-38-2009","福島県双葉郡川内村大字下川内字坂シ内１３３番地５","http://www.kawauchimura.jp/","診療所　官公立"
"0713211233","特定健診","川村医院","979-1111","0240-22-3311","福島県双葉郡富岡町大字小浜字中央７３７","","診療所　医療法人"
"0713211258","特定健診","石田医院","979-1472","0240-33-2013","福島県双葉郡双葉町大字新山字本町１７","","診療所　個人"
"0713211274","特定健診","ときクリニック","979-0514","0240-25-1222","福島県双葉郡楢葉町大字下小塙字佐野３－９","","診療所　個人"
"0713211365","特定健診","さくらクリニック","979-1151","0240-21-0873","福島県双葉郡富岡町大字本岡字新夜ノ森６３４－１","http://www.sakura0873.jp","診療所　個人"
"0713211456","特定健診","馬場医院","979-0403","0240-27-2231","福島県双葉郡広野町下浅見川字広長１００ー６","http://","診療所　個人"
"0713211498","特定健診","（医）邦諭会とみおか診療所","979-1111","0240-22-6522","福島県双葉郡富岡町大字小浜字中央３７４－１","http://","診療所　医療法人"
"0713310704","特定健診","渡辺病院","979-2611","0244-63-2100","福島県相馬郡新地町駒ヶ嶺字原９２","http://www.watanabe-hospital.or.jp","病院　医療法人"
"0715010047","特定健診・指導","独立行政法人国立病院機構いわき病院","971-8126","0246-88-7101","福島県いわき市小名浜野田字八合８８－１","http://iwaki-hosp.jp","病院　独立行政法人国立病院機構"
"0720700012","特定健診・指導","公益財団法人福島県保健衛生協会","960-8550","024-546-0394","福島県福島市方木田字水戸内１９－６","http://www.fhk.or.jp","その他　財団法人"
"0720700038","特定健診","福島県厚生農業協同組合連合会農村健診センター","961-0907","0248-27-3432","福島県白河市横町１１４","","その他　その他の公的"
"0720700046","特定健診","医療法人松尾会松尾病院巡回診療所","970-8026","0246-22-4421","福島県いわき市平字愛谷町４－１－４","http://","その他　医療法人"
"0720700053","特定保健指導","株式会社セレコム","963-8834","024-927-0667","福島県郡山市図景２－１－１１","http://","その他　株式会社"
"0720700061","特定健診・指導","日産自動車健康保険組合いわき地区診療所","971-8183","0246-75-1131","福島県いわき市泉町下川字大剣３８６","http://www.nissan-kenpo.or.jp","その他　その他の法人"
"0720800036","特定保健指導","三菱電機ライフサービス株式会社郡山支店","963-8586","024-921-9711","福島県郡山市栄町２－２５　三菱電機株式会社郡山工場内","http://www.mdlife.co.jp/","その他　株式会社"
"0720800044","特定保健指導","有限会社大雲","960-8142","0245-28-9390","福島県福島市小倉寺字稲荷山１０－３９","http://www16.plala.or.jp/daiun/","その他　その他の法人"
"0721000016","特定保健指導","社団法人福島県栄養士会","963-8015","024-939-1195","福島県郡山市細沼町６－１６","http://www.fukushima-eiyoushikai.or.jp","その他　その他の法人"
"0721600013","特定健診・指導","一般財団法人船員保険会品川シーズンテラス健診クリニック","964-0864","03-3452-3381","福島県二本松市社前７４－３","http://www.sempos.or.jp/kk/shinagawa/","その他　財団法人"
"0721700011","特定健診・指導","医療法人社団健暉会清原診療所巡回健診部福島支部","969-0206","0248-21-9601","福島県西白河郡矢吹町赤沢６３２－５","http://kenkikai2015.or.jp","その他　医療法人"
"0721700029","特定保健指導","医療法人青い海あんどう歯科医院","969-1761","024-585-1222","福島県伊達郡国見町藤田尻二１２－１","http://www.andou-dc.com/","その他　医療法人"
"0721800035","特定保健指導","さんデンタルクリニック","965-0817","0242-77-0032","福島県会津若松市千石町１０番１８号","http://www.sundental-clinic-aizu.com","その他　個人"
"0810110056","特定健診・指導","日本赤十字社水戸赤十字病院","310-0011","029-221-5177","茨城県水戸市三の丸３－１２－４８","http://mito.jrc.jp","病院　その他の公的"
"0810110197","特定健診・指導","一般財団法人茨城県メディカルセンター","310-8581","029-243-1111","茨城県水戸市笠原町４８９－４","http://www.imc.or.jp","診療所　その他の法人"
"0810110205","特定健診・指導","社会福祉法人恩賜財団済生会支部茨城県済生会水戸済生会総合病院総合健診センター","311-4145","029-254-9044","茨城県水戸市双葉台３－３－１０","http://kenshin-db.niph.go.jp/kenshin/","病院　その他の公的"
"0810110247","特定健診","医療法人住吉クリニック住吉クリニック病院","310-0844","029-247-2251","茨城県水戸市住吉町１９３－９７","http://www.sumiyoshi-clinic.or.jp","病院　医療法人"
"0810110478","特定健診・指導","茨城県厚生農業協同組合連合会総合病院水戸協同病院","310-0015","029-231-2371","茨城県水戸市宮町３－２－７","http://www.mitokyodo-hp.jp/","病院　その他の公的"
"0810110593","特定健診・指導","医療法人社団青潤会青柳病院","310-0817","029-231-2341","茨城県水戸市柳町２－１０－１１","http://www.aoyagi-hsp.com","病院　医療法人"
"0810110635","特定健診","茨城保健生活協同組合水戸共立診療所","310-0853","029-241-8050","茨城県水戸市平須町１８１９－３４","http://www.ihs.beesite.net/hp_02.html","診療所　その他の法人"
"0810110759","特定健診・指導","茨城保健生活協同組合城南病院","310-0803","029-226-3021","茨城県水戸市城南３－１５－１７","http://www.ihs.beesite.net/hp_01.html","病院　その他の法人"
"0810110809","特定健診","石田外科医院","310-0035","029-221-5538","茨城県水戸市東原２－７－３９","","診療所　個人"
"0810110874","特定健診","上甲医院","310-0815","029-221-5752","茨城県水戸市本町３－１－８","http://www.joko-clinic.com","診療所　個人"
"0810110924","特定健診・指導","塙内科呼吸器科医院","310-0846","029-248-1019","茨城県水戸市東野町２６０－６","","診療所　個人"
"0810111005","特定健診","医療法人恵愛会宮本小児科医院","310-0851","029-241-1762","茨城県水戸市千波町３７５－５","http://www.asahi-net.or.jp/~hc4m-mymt/","診療所　医療法人"
"0810111070","特定健診","医療法人三枝整形外科内科","310-0853","029-244-0011","茨城県水戸市平須町１８４０－１","http://saegusaseikeigekanaika.com","診療所　医療法人"
"0810111146","特定健診・指導","医療法人社団隆恩会石井外科内科医院","310-0851","029-243-0121","茨城県水戸市千波町１３８６","http://www15.plala.or.jp/ishii_mc/","診療所　医療法人"
"0810111237","特定健診・指導","医療法人社団協栄会大久保病院","310-0905","029-254-4555","茨城県水戸市石川４－４０４０－３２","http://www.okubo.hsp.or.jp.","病院　医療法人"
"0810111245","特定健診","小貫医院","311-4143","029-254-8400","茨城県水戸市大塚町１８５７－３","","診療所　個人"
"0810111385","特定健診","医療法人健伸会会沢内科クリニック","310-0844","029-247-2331","茨城県水戸市住吉町４４－３７","","診療所　医療法人"
"0810112045","特定健診・指導","医療法人清真会丹野病院","310-0841","029-226-6555","茨城県水戸市酒門町４８８７","http://www.tanno-h.com","病院　医療法人"
"0810112128","特定健診・指導","公益財団法人茨城県総合健診協会","310-8501","029-241-0011","茨城県水戸市笠原町４８９－５","http://www.niph.go.jp","診療所　その他の法人"
"0810112169","特定健診・指導","医療法人社団啓和会東関東クリニック","310-0804","029-221-1200","茨城県水戸市白梅３－４－８","http://www.niph.go.jp","診療所　医療法人"
"0810112250","特定健診","医療法人神保内科小児科医院","310-0903","029-225-1631","茨城県水戸市堀町９５４－６","","診療所　医療法人"
"0810112292","特定健診","医療法人水信会飯田内科医院","310-0815","029-231-1357","茨城県水戸市本町２－１０－１０","","診療所　医療法人"
"0810112417","特定健診","医療法人青木医院","310-0815","029-221-8603","茨城県水戸市本町３－４－７","","診療所　医療法人"
"0810112524","特定健診・指導","医療法人小関外科胃腸科医院","310-0851","029-241-2662","茨城県水戸市千波町３４７－１","","診療所　医療法人"
"0810112565","特定健診","医療法人社団徳昌会浅川医院","310-0035","029-221-7873","茨城県水戸市東原２－８－２５","","診療所　医療法人"
"0810112664","特定健診","台町クリニック","310-0835","029-246-1515","茨城県水戸市元台町１５１２－１","","診療所　個人"
"0810112771","特定健診・指導","医療法人大橋会大橋病院","310-0913","029-240-3300","茨城県水戸市見川町２１３１－１５６０","http://www.ohhashikai.or.jp","病院　医療法人"
"0810112805","特定健診","医療法人社団南陽会原外科医院","310-0818","029-221-3080","茨城県水戸市東台１－１２－１３","","診療所　医療法人"
"0810112813","特定健診・指導","医療法人皆川整形外科医院","310-0851","029-243-3102","茨城県水戸市千波町９０１－１","","診療所　医療法人"
"0810112953","特定健診","医療法人笠原中央クリニック","310-0852","029-244-6011","茨城県水戸市笠原町５６５－７","http://www.mito.ne.jp/~tanabata/","診療所　医療法人"
"0810112979","特定健診","医療法人川上医院","311-4153","029-255-3791","茨城県水戸市河和田町字高野坪８６２","","診療所　医療法人"
"0810112995","特定健診・指導","河内クリニック","310-0066","029-222-3000","茨城県水戸市金町３－１－１７","http://www.doctork.gr.jp","診療所　個人"
"0810113027","特定健診","医療法人さいとう内科","310-0846","029-248-7457","茨城県水戸市東野町４９１－１２","","診療所　医療法人"
"0810113126","特定健診","内科石川医院","310-0034","029-233-2236","茨城県水戸市緑町１－８－２１","","診療所　個人"
"0810113134","特定健診","葉梨外科内科","310-0836","029-247-2232","茨城県水戸市元吉田町３７６－８","","診療所　個人"
"0810113175","特定健診","医療法人田中内科医院","310-0851","029-243-3539","茨城県水戸市千波町２２６７－２","","診療所　医療法人"
"0810113266","特定健診","医療法人かさの小児クリニック","310-0055","029-222-3322","茨城県水戸市袴塚３－１－１５","","診療所　医療法人"
"0810113274","特定健診","医療法人岩崎病院","310-0852","029-241-8700","茨城県水戸市笠原町１６６４－２","https://iwasaki-hosp.com","病院　医療法人"
"0810113290","特定健診","宮川内科クリニック","310-0026","029-302-5220","茨城県水戸市泉町２－３－２中央ビル７階","","診療所　個人"
"0810113324","特定健診・指導","医療法人永和会みなみ赤塚クリニック","311-4153","029-257-6060","茨城県水戸市河和田町４９４０","http://www.myclinic.ne.jp/mac/","診療所　医療法人"
"0810113340","特定健診","医療法人三仁会秋山クリニック","311-4146","029-252-3233","茨城県水戸市中丸町６０９－１","http://www.niph.go.jp","診療所　医療法人"
"0810113399","特定健診","国家公務員共済組合連合会水府病院","311-4141","029-309-5000","茨城県水戸市赤塚１－１","http://www.kkr-suifu.com","病院　その他の公的"
"0810113407","特定健診","医療法人長福会ふくもと内科クリニック","310-0841","029-246-0105","茨城県水戸市酒門町下千束１４９５－２","","診療所　医療法人"
"0810113514","特定健診","神長クリニック","310-0852","029-305-9555","茨城県水戸市笠原町１０１－１","http://","診療所　医療法人"
"0810113530","特定健診","医療法人小沢眼科内科病院","310-0845","029-246-2111","茨城県水戸市吉沢町２４６－６","http://kozawa-ganka.or.jp","病院　医療法人"
"0810113720","特定健診","医療法人社団高安内科循環器科クリニック","311-4153","029-257-8110","茨城県水戸市河和田町４４０５－１２","","診療所　医療法人"
"0810113738","特定健診","医療法人社団瑞鳳会西宮医院","310-0036","029-224-5555","茨城県水戸市新荘２－９－９","http://www.myclinic.ne.jp/zuihoun/pc/","診療所　医療法人"
"0810113779","特定健診・指導","医療法人藤原内科医院","310-0913","029-244-3111","茨城県水戸市見川町２１３１－１４７５","","診療所　医療法人"
"0810113787","特定健診","医療法人社団ちひろ会立枝内科","310-0004","029-226-6251","茨城県水戸市青柳町３７３５","http://www.myclinic.ne.jp/tachieda","診療所　医療法人"
"0810113803","特定健診","医療法人社団博洋会金敷内科医院","310-0853","029-305-7211","茨城県水戸市平須町１－２７","http://www.myclinic.ne.jp./kanasiki/","診療所　医療法人"
"0810113811","特定健診","佐々木クリニック","311-4152","029-252-0551","茨城県水戸市河和田１－１８２８－１０グランスクエア赤塚","","診療所　個人"
"0810113886","特定健診","阿部内科医院","310-0852","029-241-8340","茨城県水戸市笠原町１９６７－１","","診療所　個人"
"0810113928","特定健診","古川胃腸肛門科クリニック","310-0836","029-247-2228","茨城県水戸市元吉田町２２９－７","","診療所　個人"
"0810113936","特定健診","医療法人青藍会大場内科クリニック","310-0841","029-304-0111","茨城県水戸市酒門町２７５－３","http://www.myclinic.ne.jp/seiran","診療所　医療法人"
"0810113951","特定健診・指導","茨城保健生活協同組合城南病院附属クリニック","310-0803","029-226-3022","茨城県水戸市城南３－１５－８","http://www.ihs.beesite.net/","診療所　その他の法人"
"0810113969","特定健診・指導","医療法人維誠会かねこ消化器内視鏡・肛門外科クリニック水戸院","311-1134","029-304-0288","茨城県水戸市百合が丘町８－５","http://www.geocities.jp/kaneken10143/","診療所　医療法人"
"0810113985","特定健診","大久保内科小児科医院","310-0042","029-221-4771","茨城県水戸市自由が丘３－５９","http://ohkubonaika.byoinnavi.jp","診療所　個人"
"0810114009","特定健診・指導","岩間東華堂クリニック","310-0026","029-300-7110","茨城県水戸市泉町３－１－３０","http://www.geocities.jp/toukadoK1","診療所　個人"
"0810114090","特定健診","医療法人くらのクリニック","310-0903","029-257-6111","茨城県水戸市堀町９１６－１０","http://www.myclinic.ne.jp/kurano","診療所　医療法人"
"0810114108","特定健診・指導","医療法人誠順会クリニック健康の杜","310-0851","029-305-6655","茨城県水戸市千波町１２５０","http://web.healthcarenet.jp/~kenkou-mori/","診療所　医療法人"
"0810114116","特定健診","医療法人あいん会あいん常澄医院","311-1131","029-240-5000","茨城県水戸市下大野町５３６０","","診療所　医療法人"
"0810114140","特定健診","医療法人ふたば内科クリニック","311-4145","029-257-1728","茨城県水戸市双葉台４－１７３－５","http://futabanaika.net","診療所　医療法人"
"0810114165","特定健診","松本クリニック","311-4143","029-309-6655","茨城県水戸市大塚町１８７９－６","","診療所　個人"
"0810114199","特定健診","佐藤消化器内視鏡クリニック","310-0853","029-244-1970","茨城県水戸市平須町２－７７","https://www.sato-cl-mito.com","診療所　個人"
"0810114249","特定健診・指導","社会医療法人財団古宿会水戸中央病院","311-1135","029-309-8600","茨城県水戸市六反田町１１３６－１","http://www.mitochuo-hsp.or.jp","病院　医療法人"
"0810114322","特定健診・指導","医療法人福井会福井内科クリニック","311-4152","029-257-2010","茨城県水戸市河和田２－８－１","","診療所　医療法人"
"0810114330","特定健診","いいたけ内科クリニック","310-0913","029-350-1155","茨城県水戸市見川町２１３１－１９７６","http://tadp.jp/029-350-1155","診療所　個人"
"0810114363","特定健診","医療法人省和会長田医院","319-0312","029-259-5711","茨城県水戸市大足町９８０","","診療所　医療法人"
"0810114421","特定健診","医療法人兼友会兼子内科クリニック","310-0041","029-222-5511","茨城県水戸市上水戸１－７－２５","http://kaneko-naika.info","診療所　医療法人"
"0810114561","特定健診・指導","医療法人社団啓和会いばらき健康管理センター","310-0913","029-243-6220","茨城県水戸市見川町字丹下一ノ牧２１３１－１４３","http://","診療所　医療法人"
"0810114587","特定健診・指導","医療法人社団北水会北水会記念病院","310-0035","029-303-3003","茨城県水戸市東原３－２－１","http://hokusuikai-kinen.jp","病院　医療法人"
"0810114595","特定健診","医療法人社団順篤会水戸うちはら内科クリニック","319-0394","029-259-1710","茨城県水戸市内原２－１","http://","診療所　医療法人"
"0810114629","特定健診","内科江幡医院","310-0041","029-221-3292","茨城県水戸市上水戸３－５－２２","http://","診療所　個人"
"0810114678","特定健診","医療法人さかと内科・胃腸科クリニック","310-0841","029-247-3375","茨城県水戸市酒門町２６３","http://","診療所　医療法人"
"0810114694","特定健診","医療法人社団大平医院おおひらクリニック","310-0852","029-291-6173","茨城県水戸市笠原町１５６８－１","http://www6.ocn.ne.jp/~ohiracli/","診療所　医療法人"
"0810114710","特定健診","医療法人桜丘会水戸ブレインハートセンター","310-0004","029-222-7007","茨城県水戸市青柳町４０２８","http://","病院　医療法人"
"0810114801","特定健診","医療法人社団かさの医院かさの内科医院","310-0056","029-222-3111","茨城県水戸市文京１－１１－９","http://www.myclinic.ne.jp/kasano/","診療所　医療法人"
"0810114819","特定健診・指導","田口同仁クリニック","319-0315","029-259-2555","茨城県水戸市内原町９１０－１","http://www.citvdo.com/prf/ibaraki/guide/sg/165000303.html","診療所　個人"
"0810114900","特定健診","医療法人社団道心会いちょう坂クリニック","310-0011","029-306-7251","茨城県水戸市三の丸１－４－７３水戸京成ビル１階","https://wwwla.biglobe.ne.jp/icyozaka-clinic/","診療所　医療法人"
"0810114934","特定健診","医療法人誠潤会水戸病院","310-0055","029-353-7077","茨城県水戸市袴塚３－２７８７－９","http://www.seijunkai.or.jp","病院　医療法人"
"0810114942","特定健診・指導","医療法人ＭＩＲＹＵ脳神経外科山田醫院","310-0902","029-297-3101","茨城県水戸市渡里町２６８９－１","http://www.yamadaiin.jp","診療所　医療法人"
"0810114983","特定健診","医療法人三愛会三愛クリニック","319-0325","029-259-1717","茨城県水戸市小林町１１８６－６０","https://www.san-ai-clinic.com","診療所　医療法人"
"0810114991","特定健診","野寺内科医院","310-0905","029-251-3906","茨城県水戸市石川４－４０３３－７","http://","診療所　個人"
"0810115014","特定健診","石島整形外科医院","310-0004","029-221-4821","茨城県水戸市青柳町５０５","https://ishijima-orth.com","診療所　医療法人"
"0810115055","特定健診","医療法人たちばな会小野クリニック","310-0836","029-240-0810","茨城県水戸市元吉田町２５７６－６","http://onocl-mito.byoinnavi.jp/pc","診療所　医療法人"
"0810115170","特定健診","飯田内科クリニック","310-0045","029-251-3651","茨城県水戸市新原１－１９－４３","http://www.iida-naikacl.com","診療所　個人"
"0810115220","特定健診","医療法人明翔会みと南ケ丘病院","310-0836","029-248-0373","茨城県水戸市元吉田町１０５７－１","http://","病院　医療法人"
"0810115311","特定健診","高木クリニック","311-4143","029-251-8038","茨城県水戸市大塚町１５０４－１","http://takaginaika.com","診療所　医療法人"
"0810115402","特定健診","医療法人弘仁会志村病院","310-0063","029-221-2181","茨城県水戸市五軒町１－５－１１","http://www.shimura-hospital.com/","病院　医療法人"
"0810115444","特定健診","医療法人緑風会こじま内科クリニック","310-0847","029-297-3311","茨城県水戸市米沢町９８－１１","http://kojimanaika-clinic.com","診療所　医療法人"
"0810115469","特定健診","医療法人すみれ会柳澤クリニック","310-0902","029-232-0430","茨城県水戸市渡里町３０１０－３","http://www.yanagisawaclinic2018-mito","診療所　医療法人"
"0810115477","特定健診・指導","医療法人博仁会フロイデ水戸メディカルプラザフロイデクリニック水戸","310-0903","029-353-8355","茨城県水戸市堀町９６７－１","https://www.hakujinkai.com","診療所　医療法人"
"0810115519","特定健診","医療法人三真会原田医院","319-0317","029-259-2045","茨城県水戸市内原町８４７番地５","http://","診療所　医療法人"
"0810115576","特定健診","医療法人明暢会見和中央クリニック","310-0911","029-227-1235","茨城県水戸市見和１－３３６－６","http://miwa-cc.jp","診療所　医療法人"
"0810115626","特定健診","医療法人社団千波中央クリニック","310-0851","029-212-8869","茨城県水戸市千波町１２８８－９","http://","診療所　医療法人"
"0810115725","特定健診","大場内科小吹クリニック","310-0914","029-243-8880","茨城県水戸市小吹町２２８４－７","http://kobukinaika.jp","診療所　医療法人"
"0810115733","特定健診","医療法人ＮＴクエストリウマチ膠原病内科クリニック","310-0015","029-233-7722","茨城県水戸市宮町１－２－４ＭＹＭビル４階","https://clinic-quest.com","診療所　医療法人"
"0810115790","特定健診","血圧心臓クリニック水戸","310-0852","029-215-8890","茨城県水戸市笠原町９７８－２８ＮＳ笠原第５　１０１号","https://ketsuatsu.jp","診療所　個人"
"0810115816","特定健診","皆川医院","310-0852","029-243-5521","茨城県水戸市笠原町９９５－１０２","http://","診療所　個人"
"0810115824","特定健診","医療法人社団神代会かしろ整形外科・内科クリニック","310-0853","029-241-0148","茨城県水戸市平須町１８２８番地の２６","https://kashiro-cl.com/","診療所　医療法人"
"0810115857","特定健診","社会福祉法人尚生会　グリーン整形外科","311-4153","029-291-7066","茨城県水戸市河和田町８２１－１","https://www.mito-greenseikei.com","診療所　社会福祉法人"
"0810115915","特定健診","とうまえ内科クリニック","311-1136","029-297-3378","茨城県水戸市東前１－２０６","https://www.toumae-clinic.jp","診療所　個人"
"0810115964","特定健診・指導","医療法人友隼会　石川クリニック","311-4142","029-253-5281","茨城県水戸市東赤塚２１２３番地","http://","診療所　医療法人"
"0810210047","特定健診・指導","株式会社日立製作所日立総合病院日立総合健診センター","317-0077","0294-23-3971","茨城県日立市城南町２－１－１","http://www.hitachi.co.jp/hospital/hitachi/","病院　その他の法人"
"0810210104","特定健診・指導","株式会社日立製作所日立健康管理センタ","317-0076","0294-34-1020","茨城県日立市会瀬町４－３－１６","http://","診療所　その他の法人"
"0810210138","特定健診","社会医療法人愛宣会ひたち医療センター","316-8533","0294-36-2551","茨城県日立市鮎川町２－８－１６","http://www.hitachi-mch.or.jp","病院　医療法人"
"0810210161","特定健診・指導","医療法人群羊会久慈茅根病院","319-1222","0294-52-2119","茨城県日立市久慈町４－１６－１０","http://www.niph.go.jp","病院　医療法人"
"0810210377","特定健診","医療法人愛正会田尻ケ丘病院","319-1416","0294-43-2323","茨城県日立市田尻町３－２４－１","http://www.niph.go.jp","病院　医療法人"
"0810210484","特定健診","日立北クリニック","319-1411","0294-43-6555","茨城県日立市川尻町５－２９－１５","http://www.niph.go.jp","診療所　個人"
"0810210807","特定健診","医療法人圭愛会日立梅ケ丘病院","316-0012","0294-34-2103","茨城県日立市大久保町２４０９－３","http://www.umegaoka.or.jp/","病院　医療法人"
"0810211086","特定健診・指導","医療法人田村内科医院","317-0063","0294-24-6125","茨城県日立市若葉町３－１－２","","診療所　医療法人"
"0810211128","特定健診・指導","医療法人佐藤内科胃腸科医院","316-0013","0294-36-0320","茨城県日立市千石町３－１０－７","http://www.niph.go.jp","診療所　医療法人"
"0810211151","特定健診・指導","医療法人小川医院","317-0075","0294-21-0963","茨城県日立市相賀町５－１","","診療所　医療法人"
"0810211201","特定健診","医療法人温仁会いのうえクリニック","316-0003","0294-33-1253","茨城県日立市多賀町２－１７－７","http://www.niph.go.jp","診療所　医療法人"
"0810211219","特定健診・指導","医療法人社団南高野医院","319-1224","0294-52-2660","茨城県日立市南高野町３－１６－２","","診療所　医療法人"
"0810211284","特定健診","医療法人大みか皮膚科クリニック","319-1221","0294-54-1800","茨城県日立市大みか町２－２９－１","http://www.niph.go.jp","診療所　医療法人"
"0810211326","特定健診","医療法人日立さくらクリニック","319-1416","0294-43-2000","茨城県日立市田尻町４－４９－１５","","診療所　医療法人"
"0810211375","特定健診・指導","大森内科医院","319-1221","0294-54-1361","茨城県日立市大みか町２－５－１６","","診療所　個人"
"0810211391","特定健診","医療法人佐々木胃腸科外科","319-1412","0294-43-0333","茨城県日立市折笠町５６４－２","http://www.niph.go.jp","診療所　医療法人"
"0810211425","特定健診・指導","医療法人永慈会永井ひたちの森病院","319-1413","0294-44-8800","茨城県日立市小木津町９６６","","病院　医療法人"
"0810211516","特定健診","佐藤医院","317-0064","0294-21-2330","茨城県日立市神峰町１－１０－２０","","診療所　個人"
"0810211581","特定健診","大山医院","316-0033","0294-37-2215","茨城県日立市中成沢町２－２１－７","http://www.niph.go.jp","診療所　個人"
"0810211615","特定健診","医療法人社団緑和会わだクリニック","316-0014","0294-28-6015","茨城県日立市東金沢町５－６－１８","http://www.niph.go.jp","診療所　医療法人"
"0810211631","特定健診","医療法人おおたしろクリニック","317-0062","0294-22-8800","茨城県日立市平和町１－１７－１５","","診療所　医療法人"
"0810211722","特定健診","医療法人あやほ会福島クリニック","319-1303","0294-39-6800","茨城県日立市十王町友部東２－５－５","","診療所　医療法人"
"0810211730","特定健診","島田外科医院","319-1221","0294-53-4888","茨城県日立市大みか町２－１３－１８","http://www.niph.go.jp","診療所　個人"
"0810211755","特定健診","千葉クリニック","316-0002","0294-25-6070","茨城県日立市桜川町２－１８－１","","診療所　個人"
"0810211763","特定健診","十王医院","319-1304","0294-39-3266","茨城県日立市十王町友部１５８４－１","http://www.nigh.go.jp","診療所　個人"
"0810211813","特定健診","ないとうクリニック","317-0052","0294-23-5111","茨城県日立市東滑川町２－２３－３","","診療所　個人"
"0810211821","特定健診","やまがた内科医院","319-1411","0294-44-8700","茨城県日立市川尻町１－３５－７","http://www.niph.go.jp","診療所　個人"
"0810211847","特定健診","医療法人社団はらクリニック","316-0002","0294-28-5566","茨城県日立市桜川町２－２５－１","","診療所　医療法人"
"0810211862","特定健診・指導","医療法人根道ケ丘クリニック","316-0022","0294-25-6661","茨城県日立市大沼町４－９－１","http://","診療所　医療法人"
"0810211870","特定健診","医療法人社団久慈川会西野医院","319-1231","0294-27-1313","茨城県日立市留町１１６６","","診療所　医療法人"
"0810211896","特定健診","医療法人真寿会西成田医院","316-0032","0294-25-6520","茨城県日立市西成沢町２－２－１","http://www.nishinarita.je","診療所　医療法人"
